Location,PovPct
Alabama,20.1
Alaska,7.1
Arizona,16.1
Arkansas,14.9
California,16.7
Colorado,8.8
Connecticut,9.7
Delaware,10.3
District_of_Columbia,22
Florida,16.2
Georgia,12.1
Hawaii,10.3
Idaho,14.5
Illinois,12.4
Indiana,9.6
Iowa,12.2
Kansas,10.8
Kentucky,14.7
Louisiana,19.7
Maine,11.2
Maryland,10.1
Massachusetts,11
Michigan,12.2
Minnesota,9.2
Mississippi,23.5
Missouri,9.4
Montana,15.3
Nebraska,9.6
Nevada,11.1
New_Hampshire,5.3
New_Jersey,7.8
New_Mexico,25.3
New_York,16.5
North_Carolina,12.6
North_Dakota,12
Ohio,11.5
Oklahoma,17.1
Oregon,11.2
Pennsylvania,12.2
Rhode_Island,10.6
South_Carolina,19.9
South_Dakota,14.5
Tennessee,15.5
Texas,17.4
Utah,8.4
Vermont,10.3
Virginia,10.2
Washington,12.5
West_Virginia,16.7
Wisconsin,8.5
Wyoming,12.2
